fnr,fnavn,sick_pct,year_q,pop,agegroup0_share,agegroup10_share,agegroup20_share,agegroup30_share,agegroup40_share,agegroup50_share,agegroup60_share,agegroup70_share,agegroup80_share,agegroup90_share,age_avg,uniwork_share,femalework_share,healthsoc_share,pub_defense_socins_share,post,quarters
1,Østfold,7.2,20081,265458,0.11916009,0.13199829,0.10781743,0.13858689,0.14450119,0.13277806,0.10885715,0.067814872,0.041490555,0.006995457,39.67712,0.2426988,0.52864128,0.19306639,0.051804308,0,1
1,Østfold,7,20082,265458,0.11916009,0.13199829,0.10781743,0.13858689,0.14450119,0.13277806,0.10885715,0.067814872,0.041490555,0.006995457,39.67712,0.2426988,0.52864128,0.19306639,0.051804308,0,2
1,Østfold,7.4,20083,265458,0.11916009,0.13199829,0.10781743,0.13858689,0.14450119,0.13277806,0.10885715,0.067814872,0.041490555,0.006995457,39.67712,0.2426988,0.52864128,0.19306639,0.051804308,0,3
1,Østfold,6.9,20084,265458,0.11916009,0.13199829,0.10781743,0.13858689,0.14450119,0.13277806,0.10885715,0.067814872,0.041490555,0.006995457,39.67712,0.2426988,0.52864128,0.19306639,0.051804308,0,4
1,Østfold,7.4,20091,268584,0.11845829,0.13165714,0.10875183,0.13503782,0.14680323,0.1317949,0.11186445,0.067375571,0.041067228,0.007189557,39.753304,0.25736403,0.52669102,0.20293413,0.055370707,0,5
1,Østfold,7.4,20092,268584,0.11845829,0.13165714,0.10875183,0.13503782,0.14680323,0.1317949,0.11186445,0.067375571,0.041067228,0.007189557,39.753304,0.25736403,0.52669102,0.20293413,0.055370707,0,6
1,Østfold,8.1,20093,268584,0.11845829,0.13165714,0.10875183,0.13503782,0.14680323,0.1317949,0.11186445,0.067375571,0.041067228,0.007189557,39.753304,0.25736403,0.52669102,0.20293413,0.055370707,0,7
1,Østfold,7.5,20094,268584,0.11845829,0.13165714,0.10875183,0.13503782,0.14680323,0.1317949,0.11186445,0.067375571,0.041067228,0.007189557,39.753304,0.25736403,0.52669102,0.20293413,0.055370707,0,8
1,Østfold,6.8,20101,271662,0.11801062,0.13138017,0.11029883,0.1310636,0.14740376,0.13192129,0.1147897,0.067260049,0.040539347,0.007332641,39.828236,0.26103708,0.52655059,0.20766991,0.057448376,0,9
1,Østfold,6.4,20102,271662,0.11801062,0.13138017,0.11029883,0.1310636,0.14740376,0.13192129,0.1147897,0.067260049,0.040539347,0.007332641,39.828236,0.26103708,0.52655059,0.20766991,0.057448376,0,10
