fnr,fnavn,sick_pct,year_q,pop,agegroup0_share,agegroup10_share,agegroup20_share,agegroup30_share,agegroup40_share,agegroup50_share,agegroup60_share,agegroup70_share,agegroup80_share,agegroup90_share,age_avg,uniwork_share,femalework_share,healthsoc_share,pub_defense_socins_share,post,quarters
1,Østfold,7.2,2008,265458,0.11916009,0.13199829,0.10781743,0.13858689,0.14450119,0.13277806,0.10885715,0.067814872,0.041490555,0.006995457,39.67712,0.2426988,0.52864128,0.19306639,0.051804308,0,1
1,Østfold,7.4,2009,268584,0.11845829,0.13165714,0.10875183,0.13503782,0.14680323,0.1317949,0.11186445,0.067375571,0.041067228,0.007189557,39.753304,0.25736403,0.52669102,0.20293413,0.055370707,0,5
1,Østfold,6.8,2010,271662,0.11801062,0.13138017,0.11029883,0.1310636,0.14740376,0.13192129,0.1147897,0.067260049,0.040539347,0.007332641,39.828236,0.26103708,0.52655059,0.20766991,0.057448376,0,9
1,Østfold,7.2,2011,274827,0.11697177,0.13056941,0.11223424,0.12848082,0.14883545,0.13097695,0.11712095,0.066954851,0.040178005,0.007677557,39.910576,0.26384902,0.52962124,0.20849799,0.058220774,0,13
1,Østfold,6.5,2012,278352,0.11591438,0.12975657,0.11348581,0.12607418,0.15004742,0.13120078,0.11945307,0.066602722,0.03970512,0.007759959,40.029488,0.27874866,0.53124976,0.20809767,0.059884489,0,17
1,Østfold,7,2013,282000,0.11503191,0.12817375,0.11588298,0.12357092,0.15078369,0.13141489,0.12115248,0.067099288,0.039102837,0.007787234,40.131371,0.28504705,0.53123075,0.20928508,0.060044631,0,21
1,Østfold,6.7,2014,284962,0.114317,0.12666601,0.11704016,0.12193204,0.15051481,0.13202813,0.12205487,0.069363631,0.037924353,0.008158983,40.282242,,,,,1,25
1,Østfold,6.8,2015,287198,0.11355928,0.12597929,0.116888,0.11976407,0.14980605,0.13361165,0.12173483,0.073426694,0.036946636,0.008283484,40.45895,,,,,1,29
2,Akershus,6,2008,518567,0.13670172,0.14161912,0.10126946,0.14618555,0.15900356,0.1250311,0.097709648,0.056008194,0.031941872,0.004529791,37.581947,0.33535877,0.52075011,0.17041656,0.066648252,0,1
2,Akershus,6.1,2009,527625,0.13585974,0.14115138,0.10257664,0.14240986,0.16056669,0.12491637,0.10019995,0.055740345,0.031897653,0.004681355,37.685009,0.3495155,0.51889169,0.17710245,0.071632199,0,5
2,Akershus,5.6,2010,536499,0.13489307,0.14041965,0.10412695,0.13859671,0.1620208,0.12517078,0.10192004,0.056028064,0.031977691,0.004846234,37.807442,0.35212475,0.51972675,0.17752828,0.07225281,0,9
2,Akershus,5.8,2011,545653,0.13415852,0.13892528,0.1066337,0.13550553,0.1623266,0.12618093,0.10274845,0.056358162,0.031857241,0.00530557,37.917698,0.35503218,0.52252275,0.17753342,0.071714319,0,13
2,Akershus,5.4,2012,556254,0.13333118,0.13683137,0.10890349,0.13341926,0.16304961,0.1275838,0.10359117,0.055866566,0.03169056,0.005732993,38.045788,0.37926385,0.52496177,0.17547998,0.07296332,0,17
2,Akershus,5.6,2013,566399,0.1333936,0.13485722,0.11001079,0.13163158,0.16349782,0.12905391,0.10344828,0.056841556,0.031131765,0.006133486,38.139408,0.38790515,0.52477545,0.17622867,0.073499344,0,21
2,Akershus,5.3,2014,575757,0.13237703,0.13379255,0.11102948,0.1303727,0.16261201,0.13032408,0.10358363,0.058689691,0.030893242,0.006325585,38.285019,,,,,1,25
2,Akershus,5.3,2015,584899,0.13098672,0.13293406,0.11172698,0.12871625,0.16159029,0.13219206,0.10256813,0.062183384,0.03056767,0.006534461,38.463688,,,,,1,29
3,Oslo,5.4,2008,560484,0.12264757,0.09683238,0.16802621,0.19248363,0.13834472,0.11067221,0.081834629,0.046866637,0.034884136,0.007407883,37.186569,0.44562232,0.51888341,0.16361505,0.071118146,0,1
3,Oslo,5.6,2009,575475,0.12373952,0.095939875,0.17069204,0.19280247,0.13836223,0.10928885,0.083143488,0.04534515,0.033209089,0.007477301,37.013359,0.4649941,0.51597124,0.17315395,0.076878607,0,5
3,Oslo,4.9,2010,586860,0.12554954,0.095172614,0.17139181,0.19197765,0.13871792,0.1087261,0.084357426,0.04479092,0.031823605,0.007492418,36.895817,0.46502939,0.51622623,0.17348531,0.077253245,0,9
3,Oslo,5.2,2011,599230,0.12569465,0.094441198,0.17403167,0.19068804,0.13893998,0.10882466,0.085049145,0.04405487,0.030480783,0.007795004,36.815655,0.46463457,0.51845682,0.17314917,0.076481208,0,13
3,Oslo,4.9,2012,613285,0.12557457,0.093036681,0.17744605,0.18957418,0.13979961,0.1084618,0.086057872,0.043048501,0.029203389,0.007797353,36.758564,0.49957272,0.52098483,0.16828218,0.077311978,0,17
3,Oslo,5.1,2013,623966,0.12553248,0.092413686,0.17886391,0.18853912,0.14029931,0.10857162,0.086756326,0.043253958,0.028088069,0.007681508,36.744816,0.50769639,0.52141142,0.16867386,0.077294938,0,21
3,Oslo,4.7,2014,634463,0.12487568,0.09199591,0.17925553,0.18877539,0.14058188,0.1088511,0.08640378,0.044716556,0.026899913,0.00764426,36.780079,,,,,1,25
3,Oslo,4.7,2015,647676,0.12406821,0.092401139,0.17945392,0.1883519,0.14061506,0.10950229,0.085246325,0.047055934,0.025518931,0.007786301,36.804741,,,,,1,29
4,Hedmark,7.1,2008,189289,0.10902376,0.12979624,0.10155899,0.12570725,0.14057869,0.14179905,0.11547422,0.076126978,0.051719856,0.008214952,41.362541,0.24313948,0.52884626,0.20881848,0.067905717,0,1
4,Hedmark,7.3,2009,190071,0.10799123,0.12968838,0.10300887,0.1218492,0.14128931,0.140558,0.12021823,0.075103514,0.052075278,0.008217982,41.488522,0.25558391,0.52553797,0.21907191,0.073131613,0,5
4,Hedmark,6.5,2010,190709,0.10717376,0.12917063,0.10474073,0.11846845,0.14224814,0.13941661,0.12408434,0.074993841,0.051350486,0.008353041,41.561295,0.26042295,0.52385002,0.22316737,0.074274272,0,9
4,Hedmark,6.9,2011,191622,0.10594295,0.12799679,0.10821304,0.11480415,0.14332905,0.13821481,0.12721922,0.074803516,0.050354343,0.009122126,41.656834,0.26486498,0.52512556,0.22618383,0.075773835,0,13
4,Hedmark,6.4,2012,192791,0.10535243,0.12576832,0.11082467,0.11199174,0.14405237,0.13856456,0.12970522,0.075169481,0.048923444,0.009647753,41.777283,0.27816135,0.5285995,0.22709687,0.077622689,0,17
4,Hedmark,6.6,2013,193719,0.10544138,0.12375142,0.11227087,0.10943686,0.14445665,0.13811758,0.13213985,0.076492235,0.04771344,0.010179693,41.894833,0.28638256,0.53003311,0.22876215,0.079258785,0,21
4,Hedmark,5.8,2014,194433,0.10406155,0.12220148,0.11396214,0.10829438,0.14416791,0.1372195,0.1337273,0.079086371,0.046612456,0.010666913,42.060703,,,,,1,25
4,Hedmark,5.9,2015,195153,0.10279626,0.12102299,0.114669,0.1079102,0.14240621,0.13815826,0.13407941,0.081971578,0.046174027,0.010812029,42.243446,,,,,1,29
6,Buskerud,6.7,2008,251220,0.12128413,0.13022052,0.11143619,0.14279118,0.14500438,0.13301489,0.10609426,0.062375609,0.040474486,0.007304355,39.285961,0.26207319,0.52837926,0.19092901,0.047678601,0,1
6,Buskerud,7,2009,254634,0.12160984,0.12930717,0.11230629,0.13972211,0.14661042,0.13164385,0.10914882,0.062273696,0.039943606,0.0074342,39.338455,0.27610689,0.52623659,0.19760385,0.050216977,0,5
6,Buskerud,6.3,2010,257673,0.12081592,0.12823617,0.11385749,0.1371661,0.1480093,0.13083249,0.11181614,0.062687978,0.039262943,0.007315474,39.425377,0.27906716,0.52525812,0.20056435,0.050075769,0,9
6,Buskerud,6.6,2011,261110,0.12027498,0.12700011,0.11534602,0.13544866,0.14851213,0.13034353,0.11422389,0.062747501,0.038305696,0.00779748,39.505322,0.28262243,0.52854919,0.19988844,0.049825329,0,13
6,Buskerud,6.1,2012,265164,0.11975985,0.12482464,0.11808918,0.1332911,0.15002413,0.12983286,0.1158566,0.062534884,0.037527718,0.008259039,39.588505,0.30473328,0.53084725,0.19852316,0.050563797,0,17
6,Buskerud,6.4,2013,269003,0.11963435,0.12329602,0.11884998,0.13187586,0.15083103,0.1299874,0.117021,0.063408218,0.036590669,0.008505481,39.681652,0.31229365,0.53144443,0.19971515,0.051394373,0,21
6,Buskerud,6,2014,272228,0.11903258,0.12259209,0.11892605,0.13044581,0.15121515,0.12990214,0.118173,0.065268822,0.035764139,0.008680224,39.807552,,,,,1,25
6,Buskerud,5.9,2015,274737,0.11815663,0.12193844,0.11935051,0.12893422,0.15040202,0.13028459,0.11779629,0.068938658,0.035433888,0.008764746,39.954868,,,,,1,29
7,Vestfold,5.9,2008,226433,0.11799517,0.13706924,0.11043885,0.13398665,0.14652899,0.13429138,0.10529826,0.065767802,0.041115914,0.00750774,39.47044,0.27395085,0.52562141,0.19140914,0.049980246,0,1
7,Vestfold,6.3,2009,229134,0.11746401,0.13595101,0.11239275,0.13119398,0.14721517,0.13396092,0.10774918,0.065804288,0.040674888,0.00759381,39.535908,0.2878021,0.52184743,0.19969296,0.053835694,0,5
7,Vestfold,5.7,2010,231286,0.11671697,0.13504492,0.11414871,0.12779848,0.14782563,0.13421911,0.11040011,0.066099979,0.039794885,0.007951194,39.637482,0.29231158,0.5222472,0.20352389,0.054615054,0,9
7,Vestfold,5.9,2011,233705,0.11610363,0.13333476,0.1150767,0.12596221,0.147361,0.13482381,0.11239811,0.067598037,0.039062064,0.008279669,39.791386,0.29650083,0.52454591,0.20659274,0.054847479,0,13
7,Vestfold,5.5,2012,236424,0.11577928,0.13116266,0.11631645,0.12420059,0.14756539,0.13508359,0.11557202,0.067501605,0.03821101,0.008607417,39.923183,0.31485927,0.52645481,0.20600443,0.055062,0,17
7,Vestfold,5.9,2013,238748,0.11533919,0.12883878,0.11720308,0.12240103,0.14838658,0.13514668,0.11794444,0.067250825,0.038731214,0.008758188,40.095463,0.32160559,0.52765423,0.20560652,0.056532867,0,21
7,Vestfold,5.7,2014,240860,0.11485925,0.12742671,0.11741675,0.12124471,0.14782447,0.1348086,0.12039359,0.069135599,0.037851863,0.009038446,40.265175,,,,,1,25
7,Vestfold,5.6,2015,242662,0.11360246,0.12571807,0.11756682,0.12048034,0.14732426,0.13498612,0.12097897,0.072903872,0.037220497,0.009218584,40.48494,,,,,1,29
8,Telemark,6.6,2008,166731,0.1129604,0.13402426,0.1106273,0.13102542,0.14089762,0.13792276,0.10976363,0.067288026,0.047735576,0.007755007,40.228386,0.24562357,0.5275107,0.21008056,0.04910345,0,1
